127.0.0.1 - - [18/Nov/2020:10:16:35 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:16:37 +0900] "GET /portfolio/main/main.jsp HTTP/1.1" 200 11518
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:16:37 +0900] "GET /portfolio/main/common.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:16:37 +0900] "GET /portfolio/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:16:37 +0900] "GET /portfolio/img/tomahawk.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:16:37 +0900] "GET /portfolio/img/twitter.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:16:37 +0900] "GET /portfolio/img/instagram.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:16:37 +0900] "GET /portfolio/img/facebook.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:16:37 +0900] "GET /portfolio/main/common.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:16:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:17:09 +0900] "GET /portfolio/Member/login.jsp HTTP/1.1" 200 2878
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:17:09 +0900] "GET /portfolio/Member/common.css HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:17:09 +0900] "GET /portfolio/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:17:17 +0900] "POST /portfolio/Member/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:17:17 +0900] "GET /portfolio/main.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:17:17 +0900] "GET /portfolio/main/main.jsp HTTP/1.1" 200 11719
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:17:17 +0900] "GET /portfolio/main/common.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:17:17 +0900] "GET /portfolio/main/common.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:17:38 +0900] "GET /portfolio/Beef/beef.jsp HTTP/1.1" 200 7721
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:17:38 +0900] "GET /portfolio/Beef/common.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:17:38 +0900] "GET /portfolio/img/Beef_Thin_Skirt%20.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:17:38 +0900] "GET /portfolio/img/Beef_Ribs.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:17:38 +0900] "GET /portfolio/img/Little_sirloin%20.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:17:38 +0900] "GET /portfolio/Beef/common.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:17:47 +0900] "GET /portfolio/Pork/pork.jsp HTTP/1.1" 200 7655
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:17:47 +0900] "GET /portfolio/Pork/common.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:17:47 +0900] "GET /portfolio/css/pork.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:17:47 +0900] "GET /portfolio/Pork/common.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:18:46 +0900] "GET /portfolio/Member/memberModify.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:18:46 +0900] "GET /portfolio/Member/memberModify.jsp HTTP/1.1" 200 3109
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:18:46 +0900] "GET /portfolio/css/memberRegister.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:18:49 +0900] "GET /portfolio/main/main.jsp HTTP/1.1" 200 11719
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:18:49 +0900] "GET /portfolio/main/common.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:18:49 +0900] "GET /portfolio/main/common.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:18:51 +0900] "GET /portfolio/board/list.jsp HTTP/1.1" 200 1131
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:18:52 +0900] "GET /portfolio/css/board_combination.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:18:53 +0900] "GET /portfolio/board/write.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:18:54 +0900] "GET /portfolio/board/write.jsp HTTP/1.1" 200 920
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:18:57 +0900] "GET /portfolio/board/list.do HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:18:58 +0900] "GET /portfolio/board/view.do?no=24&id=kudam HTTP/1.1" 200 1178
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:19:00 +0900] "GET /portfolio/board/reply.do?no=24&id=kudam HTTP/1.1" 200 1436
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:19:02 +0900] "GET /portfolio/board/list.do HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:19:02 +0900] "GET /portfolio/board/view.do?no=25&id=kudam HTTP/1.1" 200 1194
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:19:05 +0900] "GET /portfolio/board/list.do HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:19:06 +0900] "GET /portfolio/board/view.do?no=22&id=kudam92 HTTP/1.1" 200 1286
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:19:08 +0900] "GET /portfolio/board/list.do HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:19:09 +0900] "GET /portfolio/board/view.do?no=20&id=kudam92 HTTP/1.1" 200 1267
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:19:12 +0900] "GET /portfolio/board/list.do HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:19:13 +0900] "GET /portfolio/board/view.do?no=21&id=kudam92 HTTP/1.1" 200 1294
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:19:17 +0900] "GET /portfolio/board/list.do HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:19:19 +0900] "GET /portfolio/board/view.do?no=22&id=kudam92 HTTP/1.1" 200 1286
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:19:21 +0900] "GET /portfolio/board/list.do HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:19:23 +0900] "GET /portfolio/main/main.jsp HTTP/1.1" 200 11719
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:19:23 +0900] "GET /portfolio/main/common.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:19:23 +0900] "GET /portfolio/main/common.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:57:40 +0900] "GET /portfolio/board/list.jsp HTTP/1.1" 200 1131
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:57:41 +0900] "GET /portfolio/board/write.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:57:41 +0900] "GET /portfolio/board/write.jsp HTTP/1.1" 200 920
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:57:42 +0900] "GET /portfolio/board/list.do HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:57:44 +0900] "GET /portfolio/main/main.jsp HTTP/1.1" 200 11518
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:57:44 +0900] "GET /portfolio/main/common.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Nov/2020:10:57:44 +0900] "GET /portfolio/main/common.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:09:43 +0900] "GET /portfolio/main/main.jsp HTTP/1.1" 200 11518
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:09:43 +0900] "GET /portfolio/main/common.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:09:43 +0900] "GET /portfolio/main/common.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:10:08 +0900] "GET /portfolio/Beef/beef.jsp HTTP/1.1" 200 7619
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:10:08 +0900] "GET /portfolio/Beef/common.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:10:08 +0900] "GET /portfolio/Beef/common.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:10:18 +0900] "GET /portfolio/Pork/pork.jsp HTTP/1.1" 200 7553
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:10:18 +0900] "GET /portfolio/Pork/common.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:10:18 +0900] "GET /portfolio/Pork/common.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [18/Nov/2020:12:10:18 +0900] "GET /portfolio/img/pork_neck2.jpg HTTP/1.1" 304 -
